Karonga;22.7
Nassau;22.5
Libreville;44.5
Palembang;19.6
Makassar;21.4
Boise;22.2
Ankara;27.2
Anchorage;3.1
Maun;26.8
Da Nang;24.9
Anadyr;-4.0
Valletta;47.5
Jacksonville;17.0
Ngaoundéré;23.4
Edinburgh;8.5
Rostov-on-Don;7.5
Tokyo;34.1
Bouaké;5.0
New York City;24.2
Almaty;23.3
Manila;18.6
Roseau;42.1
Hobart;-16.3
Barcelona;11.4
Batumi;14.3
Da Nang;22.8
Adelaide;30.2
Beijing;8.1
Kyoto;9.0
Sokoto;22.8
Dar es Salaam;24.0
Edinburgh;17.2
Charlotte;15.1
Conakry;36.1
Dodoma;21.7
Zanzibar City;40.0
Whitehorse;-13.3
Toluca;1.6
Ouarzazate;-1.1
Palermo;17.5
Maputo;20.2
Atlanta;18.8
Sydney;6.5
Reykjavík;6.4
Zürich;5.8
Moncton;-2.4
Garissa;38.0
Santo Domingo;30.1
Palembang;27.4
Luanda;36.2
Suwałki;19.9
Calgary;-0.4
Rostov-on-Don;3.4
Palembang;25.9
El Paso;28.2
Detroit;15.2
Harbin;24.3
Blantyre;16.6
Riyadh;33.5
Podgorica;19.8
Malé;25.4
Cotonou;28.9
Hobart;18.9
Roseau;34.1
Hargeisa;21.8
El Paso;21.6
Manama;14.8
Perth;11.4
Manila;19.5
Parakou;15.3
Mango;29.2
Libreville;14.4
Irkutsk;1.6
Wau;16.8
Yangon;19.1
Auckland;23.1
Zanzibar City;21.5
Guadalajara;33.7
Nouakchott;27.1
Mombasa;23.2
London;-3.7
Podgorica;26.4
Bilbao;19.0
Maun;8.6
Bosaso;26.1
Antananarivo;10.6
Pyongyang;13.9
Port Vila;22.7
Kuopio;-2.3
Atlanta;23.1
Oklahoma City;12.2
Mexico City;10.9
Sacramento;25.5
Veracruz;33.7
Cape Town;12.1
Rostov-on-Don;9.8
Nassau;32.3
Maputo;17.5
Beirut;12.3
Charlotte;22.9
Flores,  Petén;22.8
Valletta;20.2
Niigata;13.7
Hanoi;38.9
Yakutsk;4.7
Karachi;20.9
Lake Tekapo;10.7
Abha;31.6
Maun;21.1
Bissau;17.2
Tel Aviv;19.4
Douala;29.9
Zagreb;-8.6
Milwaukee;-17.8
Pointe-Noire;38.8
Ghanzi;29.5
Hanoi;16.6
Ouarzazate;28.8
Napoli;10.4
Boston;-6.3
Abéché;29.6
Alexandria;29.2
Bissau;42.1
Willemstad;19.6
Marrakesh;17.0
Charlotte;8.9
Tokyo;-7.1
Canberra;15.8
Napier;22.7
Changsha;18.3
Abha;21.8
San Antonio;27.6
Muscat;36.8
Dodoma;28.8
Aden;15.5
Yakutsk;3.2
Kingston;44.5
Nairobi;37.4
Lake Tekapo;5.4
Reggane;13.5
Hanoi;24.5
Memphis;30.3
Da Lat;17.5
La Ceiba;28.2
Saskatoon;7.1
Kuwait City;41.1
Toamasina;41.6
Milan;11.8
Dhaka;22.7
Lviv;3.5
İzmir;32.8
St. John's;10.6
Ndola;29.3
Mumbai;21.3
Lviv;8.3
Portland (OR);-3.5
Parakou;27.4
Baguio;17.8
Madrid;-0.5
Marrakesh;-3.8
İzmir;22.8
Maputo;25.7
Wrocław;8.7
Hamilton;19.2
Tabora;33.3
Odesa;6.3
Dhaka;31.8
Anadyr;-1.9
Bishkek;17.4
Lhasa;2.1
Praia;34.5
Wau;25.1
Niigata;-2.5
Fianarantsoa;24.0
Ségou;22.4
Antsiranana;11.3
Manama;23.0
Kansas City;7.1
Ghanzi;26.2
Dili;25.5
Melbourne;34.0
Sapporo;3.8
Mzuzu;27.9
Kuopio;15.5
Launceston;-4.5
Ouagadougou;34.2
Novosibirsk;-1.9
Lviv;3.0
Vienna;9.2
Palermo;13.7
Denpasar;49.6
Hobart;8.6
Ankara;26.0
Batumi;24.5
St. Louis;14.8
Maun;14.6
Harare;-2.7
Gabès;5.6
Lviv;9.9
Pittsburgh;8.3
Malé;-0.8
Wellington;-6.1
Muscat;40.8
Hiroshima;41.3
Palm Springs;12.1
Sacramento;25.1
Wrocław;-6.7
Port Moresby;17.2
Beirut;17.6
Split;14.5
Dhaka;18.8
Dar es Salaam;24.3
Mogadishu;23.3
Kuopio;5.7
Parakou;32.1
Ségou;28.1
Austin;7.6
Bissau;27.7
Dunedin;-2.7
San José;23.0
Johannesburg;18.4
Mandalay;49.1
Timbuktu;36.0
Da Lat;16.2
Rostov-on-Don;1.4
Yaoundé;36.0
Lake Havasu City;10.4
Iqaluit;-19.3
Halifax;9.1
Austin;9.5
Cabo San Lucas;31.1
Abha;14.8
Split;11.7
